draw_date,num1,num2,num3,num4,num5,num6,jackpot,winners
2007-04-27,4,13,35,37,39,41,15940000.000000002,0
2007-04-30,14,15,16,29,39,41,8940000.000000002,0
2007-05-02,3,5,17,26,31,42,18940000,0
2007-05-04,14,18,22,24,36,42,7940000,0
2007-05-07,13,19,27,30,40,41,11940000.000000002,0
2007-05-09,4,9,15,19,20,36,7940000,0
2007-05-11,5,9,10,13,15,36,5940000,0
2007-05-14,11,18,19,32,36,40,18940000,0
2007-05-16,23,28,32,35,36,38,9940000.000000002,0
2007-05-18,2,7,8,12,23,39,11940000.000000002,0
2007-05-21,2,8,29,30,33,36,6940000,1
2007-05-23,15,17,24,32,37,40,18940000,0
2007-05-25,21,23,32,33,35,37,13940000.000000002,0
2007-05-28,28,32,33,34,39,41,17940000,0
2007-05-30,4,16,24,27,41,42,10940000.000000002,1
2007-06-01,2,9,14,18,28,36,19940000,0
2007-06-04,6,10,11,19,21,33,11940000.000000002,0
2007-06-06,7,23,26,27,35,38,18940000,0
2007-06-08,7,22,24,25,29,32,13940000.000000002,0
2007-06-11,13,15,16,19,27,31,16940000,0
2007-06-13,4,5,8,9,12,20,15940000.000000002,1
2007-06-15,1,12,20,24,33,40,11940000.000000002,0
2007-06-18,14,17,22,25,29,38,16940000,0
2007-06-20,6,7,8,20,30,42,17940000,0
2007-06-22,3,6,16,20,23,38,8940000.000000002,0
2007-06-25,1,10,28,34,35,39,9940000.000000002,0
2007-06-27,2,3,4,27,29,41,5940000,0
2007-06-29,5,14,20,24,31,42,12940000.000000002,0
2007-07-02,5,11,20,21,32,34,19940000,0
2007-07-04,4,6,10,20,26,36,10940000.000000002,0
2007-07-06,6,12,30,38,39,41,11940000.000000002,0
2007-07-09,11,21,25,30,32,38,11940000.000000002,1
2007-07-11,5,9,17,20,39,41,10940000.000000002,2
2007-07-13,8,15,16,21,37,41,6940000,0
2007-07-16,6,21,26,31,32,38,7940000,0
2007-07-18,5,14,18,23,24,33,18940000,0
2007-07-20,1,3,10,16,22,26,11940000.000000002,0
2007-07-23,13,14,17,22,33,37,16940000,0
2007-07-25,1,5,9,16,18,34,6940000,0
2007-07-27,3,4,5,33,38,42,15940000.000000002,0
2007-07-30,3,7,30,32,35,37,15940000.000000002,0
2007-08-01,13,18,32,34,39,41,18940000,0
2007-08-03,17,21,25,26,28,35,9940000.000000002,0
2007-08-06,8,11,13,22,36,37,15940000.000000002,0
2007-08-08,1,5,8,19,34,39,6940000,0
2007-08-10,1,2,17,18,28,42,16940000,0
2007-08-13,2,15,21,24,32,39,12940000.000000002,0
2007-08-15,5,26,33,34,40,41,9940000.000000002,1
2007-08-17,1,12,16,26,33,41,19940000,0
2007-08-20,7,18,21,35,38,39,18940000,0
2007-08-22,8,24,25,35,38,40,19940000,0
2007-08-24,3,22,29,33,34,42,6940000,0
2007-08-27,10,12,18,28,30,38,18940000,0
2007-08-29,2,8,9,10,13,33,8940000.000000002,0
2007-08-31,1,2,6,12,24,37,7940000,0
2007-09-03,6,9,11,12,18,23,19940000,0
2007-09-05,3,5,6,7,9,16,11940000.000000002,0
2007-09-07,4,5,11,13,26,40,9940000.000000002,0
2007-09-10,3,10,14,27,28,38,13940000.000000002,0
2007-09-12,2,4,18,28,36,42,9940000.000000002,0
2007-09-14,4,5,21,23,34,37,17940000,0
2007-09-17,2,8,10,14,33,39,8940000.000000002,0
2007-09-19,5,8,16,21,31,34,19940000,0
2007-09-21,12,15,24,35,38,41,7940000,1
2007-09-24,3,12,16,22,32,33,19940000,0
2007-09-26,2,3,6,12,19,24,13940000.000000002,0
2007-09-28,12,13,19,21,23,25,9940000.000000002,0
2007-10-01,8,12,22,25,26,42,5940000,0
2007-10-03,3,9,10,13,24,40,10940000.000000002,0
2007-10-05,1,6,31,32,37,41,6940000,0
2007-10-08,4,6,16,27,31,42,14940000.000000002,0
2007-10-10,5,14,20,23,27,31,5940000,0
2007-10-12,5,8,9,25,36,39,12940000.000000002,2
2007-10-15,19,21,26,34,35,42,8940000.000000002,0
2007-10-17,4,7,18,23,27,32,10940000.000000002,0
2007-10-19,6,11,14,18,20,33,16940000,0
2007-10-22,3,18,24,25,33,40,11940000.000000002,0
2007-10-24,6,7,21,27,35,38,14940000.000000002,0
2007-10-26,2,5,9,15,31,34,16940000,0
2007-10-29,2,13,18,20,30,34,18940000,0
2007-10-31,3,16,24,28,34,35,7940000,0
2007-11-02,1,9,20,26,30,34,6940000,0
2007-11-05,2,19,22,23,31,38,9940000.000000002,0
2007-11-07,12,14,15,22,34,40,8940000.000000002,0
2007-11-09,3,14,15,17,29,32,15940000.000000002,0
2007-11-12,8,18,32,33,35,42,20940000,0
2007-11-14,3,9,17,20,27,37,5940000,0
2007-11-16,3,11,13,15,25,28,19940000,0
2007-11-19,7,13,19,21,30,40,17940000,2
2007-11-21,2,8,11,31,35,37,18940000,0
2007-11-23,6,9,19,25,27,40,18940000,2
2007-11-26,4,8,15,28,35,36,15940000.000000002,1
2007-11-28,1,2,17,18,21,23,15940000.000000002,0
2007-11-30,1,7,12,33,34,36,14940000.000000002,0
2007-12-03,3,5,6,12,16,21,9940000.000000002,0
2007-12-05,8,20,25,33,37,41,13940000.000000002,0
2007-12-07,8,11,12,27,32,40,5940000,0
2007-12-10,1,5,11,14,16,40,7940000,0
2007-12-12,3,9,25,28,30,35,6940000,0
2007-12-14,1,14,17,18,27,39,13940000.000000002,0
2007-12-17,10,26,28,36,41,42,17940000,0
2007-12-19,6,9,12,15,24,27,18940000,0
2007-12-21,5,12,13,30,34,36,10940000.000000002,0
2007-12-24,3,10,11,14,36,39,10940000.000000002,0
2007-12-26,10,13,19,27,28,30,16940000,0
2007-12-28,6,8,9,10,14,29,7940000,0
2007-12-31,2,20,31,34,35,37,7940000,0
2008-01-02,8,14,19,26,34,41,15940000.000000002,0
2008-01-04,6,7,9,18,19,29,10940000.000000002,0
2008-01-07,10,15,25,37,40,41,16940000,0
2008-01-09,25,28,29,33,36,38,7940000,0
2008-01-11,1,9,17,22,38,42,12940000.000000002,0
2008-01-14,1,4,14,17,19,24,16940000,1
2008-01-16,2,21,22,23,28,32,5940000,0
2008-01-18,3,15,23,24,27,37,17940000,0
2008-01-21,9,14,16,18,31,32,12940000.000000002,0
2008-01-23,13,16,21,29,30,40,16940000,0
2008-01-25,2,3,5,24,26,37,19940000,1
2008-01-28,4,9,11,25,37,42,5940000,0
2008-01-30,1,8,10,18,29,35,15940000.000000002,0
2008-02-01,5,13,15,33,35,38,8940000.000000002,0
2008-02-04,8,12,20,29,32,41,10940000.000000002,0
2008-02-06,1,13,20,35,36,37,14940000.000000002,0
2008-02-08,9,11,12,18,35,37,14940000.000000002,0
2008-02-11,7,16,27,30,35,42,8940000.000000002,0
2008-02-13,5,12,15,17,21,33,14940000.000000002,0
2008-02-15,9,11,14,25,33,41,10940000.000000002,0
2008-02-18,1,4,16,21,27,42,13940000.000000002,0
2008-02-20,14,32,34,35,36,42,7940000,0
2008-02-22,1,5,12,15,27,33,15940000.000000002,0
2008-02-25,15,16,22,23,33,39,12940000.000000002,0
2008-02-27,5,13,14,26,30,35,17940000,0
2008-02-29,8,9,13,17,19,41,8940000.000000002,0
2008-03-03,3,11,15,18,34,38,15940000.000000002,0
2008-03-05,12,17,23,24,35,38,15940000.000000002,0
2008-03-07,4,6,13,24,26,40,9940000.000000002,0
2008-03-10,4,15,25,27,35,36,14940000.000000002,0
2008-03-12,3,4,5,7,21,36,10940000.000000002,0
2008-03-14,2,5,12,24,25,40,10940000.000000002,0
2008-03-17,7,9,14,19,29,38,19940000,0
2008-03-19,8,14,15,21,29,35,16940000,0
2008-03-21,8,12,15,23,31,35,18940000,0
2008-03-24,16,25,29,30,38,39,9940000.000000002,0
2008-03-26,2,10,11,19,27,37,13940000.000000002,0
2008-03-28,7,12,13,31,33,37,16940000,0
2008-03-31,3,4,8,10,11,18,16940000,0
2008-04-02,1,10,22,24,27,37,14940000.000000002,2
2008-04-04,4,15,17,19,25,35,16940000,0
2008-04-07,9,10,13,17,37,41,12940000.000000002,0
2008-04-09,6,7,15,17,19,25,8940000.000000002,0
2008-04-11,3,8,11,16,37,39,19940000,0
2008-04-14,15,16,28,32,37,39,18940000,0
2008-04-16,7,8,9,12,15,27,7940000,1
2008-04-18,4,10,18,21,32,33,14940000.000000002,0
2008-04-21,8,15,19,23,24,34,14940000.000000002,0
2008-04-23,3,8,11,21,23,28,13940000.000000002,0
2008-04-25,5,18,21,31,40,42,8940000.000000002,2
2008-04-28,7,14,25,35,39,40,5940000,0
2008-04-30,7,8,18,19,30,36,19940000,0
2008-05-02,1,2,4,15,23,39,16940000,0
2008-05-05,11,15,21,23,32,33,5940000,1
2008-05-07,2,3,10,25,36,42,6940000,1
2008-05-09,11,15,21,29,33,39,18940000,0
2008-05-12,8,11,19,21,28,32,9940000.000000002,0
2008-05-14,4,6,12,24,31,38,11940000.000000002,0
2008-05-16,10,19,26,30,31,34,5940000,0
2008-05-19,5,11,19,21,29,37,5940000,0
2008-05-21,2,3,4,24,25,26,12940000.000000002,0
2008-05-23,5,10,29,30,39,40,6940000,0
2008-05-26,2,4,20,28,36,40,7940000,0
2008-05-28,6,15,20,24,28,30,11940000.000000002,0
2008-05-30,2,11,16,31,35,37,7940000,0
2008-06-02,6,13,34,36,38,41,11940000.000000002,0
2008-06-04,2,12,19,22,30,41,16940000,0
2008-06-06,4,13,14,18,34,36,19940000,0
2008-06-09,6,16,17,20,21,23,12940000.000000002,1
2008-06-11,3,17,25,33,37,42,12940000.000000002,0
2008-06-13,3,7,12,13,23,31,19940000,0
2008-06-16,3,6,11,15,20,23,13940000.000000002,0
2008-06-18,3,13,14,21,26,39,5940000,1
2008-06-20,16,17,26,28,29,38,16940000,0
2008-06-23,6,17,22,26,27,40,13940000.000000002,0
2008-06-25,10,25,29,31,38,41,6940000,0
2008-06-27,7,9,13,33,39,41,18940000,0
2008-06-30,5,30,34,39,40,41,9940000.000000002,0
2008-07-02,6,19,20,21,27,31,18940000,1
2008-07-04,4,10,28,31,34,41,15940000.000000002,0
2008-07-07,6,25,27,33,39,42,5940000,0
2008-07-09,13,24,34,36,38,42,8940000.000000002,0
2008-07-11,9,13,28,32,35,40,6940000,0
2008-07-14,1,2,14,28,37,39,19940000,0
2008-07-16,2,4,5,6,15,40,11940000.000000002,0
2008-07-18,6,11,18,21,24,34,18940000,0
2008-07-21,6,7,9,22,23,27,8940000.000000002,0
2008-07-23,4,5,10,19,29,31,13940000.000000002,0
2008-07-25,9,11,14,18,25,33,7940000,1
2008-07-28,5,6,8,16,22,41,18940000,0
2008-07-30,3,4,7,16,24,41,17940000,0
2008-08-01,11,21,27,32,34,37,14940000.000000002,0
2008-08-04,4,30,31,35,36,40,5940000,0
2008-08-06,8,9,17,18,24,36,18940000,0
2008-08-08,14,21,29,31,32,34,18940000,1
2008-08-11,4,12,14,27,32,34,5940000,0
2008-08-13,11,14,16,27,36,40,11940000.000000002,0
2008-08-15,10,12,27,36,37,41,9940000.000000002,0
2008-08-18,2,11,19,20,27,39,14940000.000000002,0
2008-08-20,1,11,13,14,19,29,12940000.000000002,0
2008-08-22,2,7,15,16,19,34,8940000.000000002,0
2008-08-25,9,19,31,37,39,40,16940000,0
2008-08-27,22,25,27,37,38,40,19940000,0
2008-08-29,7,19,32,33,34,42,6940000,0
2008-09-01,4,5,19,27,31,35,13940000.000000002,0
2008-09-03,4,9,26,32,35,39,11940000.000000002,0
2008-09-05,1,8,11,17,31,41,12940000.000000002,1
2008-09-08,4,14,16,23,37,38,15940000.000000002,0
2008-09-10,4,7,19,20,21,38,13940000.000000002,0
2008-09-12,6,10,12,21,26,33,5940000,0
2008-09-15,14,20,23,27,38,39,5940000,0
2008-09-17,1,6,9,21,24,27,18940000,0
2008-09-19,1,17,18,27,28,36,11940000.000000002,0
2008-09-22,1,17,22,24,29,34,14940000.000000002,1
2008-09-24,1,5,13,23,36,42,10940000.000000002,0
2008-09-26,12,16,28,30,32,40,14940000.000000002,0
2008-09-29,13,22,23,26,33,40,13940000.000000002,0
2008-10-01,5,8,16,19,20,39,10940000.000000002,0
2008-10-03,2,4,7,13,29,40,6940000,0
2008-10-06,1,14,20,23,24,35,12940000.000000002,0
2008-10-08,10,19,22,25,37,40,5940000,0
2008-10-10,9,12,29,35,39,42,12940000.000000002,0
2008-10-13,11,18,21,26,36,40,12940000.000000002,0
2008-10-15,1,6,15,22,24,29,18940000,1
2008-10-17,4,5,13,22,31,35,18940000,0
2008-10-20,3,10,11,18,19,35,10940000.000000002,0
2008-10-22,7,13,21,31,39,41,6940000,0
2008-10-24,7,28,29,34,35,42,16940000,0
2008-10-27,7,10,31,38,39,40,13940000.000000002,0
2008-10-29,11,17,18,20,23,24,12940000.000000002,2
2008-10-31,3,13,16,23,31,42,15940000.000000002,0
2008-11-03,8,9,19,27,37,39,6940000,0
2008-11-05,2,5,11,12,13,28,6940000,0
2008-11-07,3,4,9,15,27,29,9940000.000000002,0
2008-11-10,3,9,22,28,29,35,15940000.000000002,0
2008-11-12,6,12,30,33,35,42,10940000.000000002,0
2008-11-14,9,14,18,25,26,34,17940000,0
2008-11-17,1,13,18,24,32,41,11940000.000000002,0
2008-11-19,9,10,15,16,27,42,13940000.000000002,0
2008-11-21,1,4,9,18,25,37,17940000,1
2008-11-24,17,18,20,22,26,33,13940000.000000002,0
2008-11-26,15,19,22,34,39,41,19940000,0
2008-11-28,3,14,15,18,31,32,14940000.000000002,0
2008-12-01,1,2,4,5,10,23,6940000,0
2008-12-03,4,7,11,16,17,34,6940000,0
2008-12-05,17,19,21,23,24,36,7940000,0
2008-12-08,6,20,25,36,37,40,14940000.000000002,0
2008-12-10,2,8,15,32,40,41,14940000.000000002,0
2008-12-12,18,28,29,30,32,33,15940000.000000002,0
2008-12-15,2,3,21,25,28,41,11940000.000000002,0
2008-12-17,4,8,11,15,20,28,15940000.000000002,0
2008-12-19,2,7,8,18,20,38,11940000.000000002,0
2008-12-22,3,9,13,21,27,28,14940000.000000002,0
2008-12-24,9,17,19,26,36,39,6940000,0
2008-12-26,8,12,15,19,26,41,16940000,0
2008-12-29,8,13,19,26,30,33,13940000.000000002,1
2008-12-31,7,8,15,28,33,40,13940000.000000002,0
2009-01-02,3,5,7,10,26,35,10940000.000000002,0
2009-01-05,2,21,24,30,34,41,10940000.000000002,0
2009-01-07,15,24,26,28,30,37,5940000,0
2009-01-09,1,3,4,9,15,29,6940000,0
2009-01-12,7,11,14,19,21,40,13940000.000000002,0
2009-01-14,1,11,23,25,26,37,17940000,0
2009-01-16,8,27,29,31,35,40,14940000.000000002,0
2009-01-19,5,8,9,13,38,39,10940000.000000002,0
2009-01-21,1,9,21,30,32,34,6940000,0
2009-01-23,2,4,11,13,36,39,15940000.000000002,1
2009-01-26,11,13,23,32,36,40,13940000.000000002,1
2009-01-28,3,4,22,25,41,42,16940000,0
2009-01-30,5,6,11,14,25,29,18940000,0
2009-02-02,22,29,33,34,35,42,15940000.000000002,0
2009-02-04,1,10,22,30,33,41,10940000.000000002,0
2009-02-06,2,3,8,18,20,36,14940000.000000002,0
2009-02-09,3,14,16,21,40,41,10940000.000000002,0
2009-02-11,2,14,19,22,23,32,14940000.000000002,0
2009-02-13,4,8,14,20,21,39,19940000,0
2009-02-16,5,8,10,12,23,39,7940000,0
2009-02-18,1,5,7,11,18,30,18940000,0
2009-02-20,3,6,21,24,39,42,12940000.000000002,0
2009-02-23,3,5,13,27,33,39,6940000,0
2009-02-25,4,7,27,32,33,42,10940000.000000002,0
2009-02-27,1,5,14,34,37,39,9940000.000000002,0
2009-03-02,1,3,7,9,24,31,13940000.000000002,0
2009-03-04,6,21,26,27,30,31,12940000.000000002,0
2009-03-06,11,12,16,20,21,33,7940000,0
2009-03-09,11,29,30,35,38,42,6940000,0
2009-03-11,9,11,12,13,23,25,16940000,0
2009-03-13,4,12,20,25,34,36,18940000,0
2009-03-16,8,10,13,25,36,40,12940000.000000002,0
2009-03-18,5,7,14,27,38,41,5940000,0
2009-03-20,11,17,25,26,30,38,10940000.000000002,0
2009-03-23,2,7,15,23,30,31,16940000,0
2009-03-25,10,15,22,28,29,34,10940000.000000002,0
2009-03-27,1,7,9,11,33,41,5940000,0
2009-03-30,11,16,18,20,28,30,8940000.000000002,0
2009-04-01,8,13,33,36,37,38,19940000,0
2009-04-03,2,8,18,33,36,40,10940000.000000002,0
2009-04-06,3,5,31,37,38,42,11940000.000000002,0
2009-04-08,10,22,24,29,31,33,9940000.000000002,0
2009-04-10,8,26,33,35,37,40,18940000,0
2009-04-13,12,16,18,24,27,32,8940000.000000002,0
2009-04-15,5,15,17,20,26,38,8940000.000000002,1
2009-04-17,4,8,17,18,19,30,17940000,0
2009-04-20,14,15,20,21,31,35,19940000,0
2009-04-22,1,6,13,18,31,38,12940000.000000002,0
2009-04-24,1,33,35,38,40,41,8940000.000000002,0
2009-04-27,1,4,11,18,23,30,13940000.000000002,0
2009-04-29,1,5,16,17,29,31,8940000.000000002,0
2009-05-01,8,16,33,36,37,41,7940000,0
2009-05-04,1,8,21,25,26,41,8940000.000000002,0
2009-05-06,5,20,22,24,37,38,15940000.000000002,0
2009-05-08,1,4,6,11,38,41,8940000.000000002,0
2009-05-11,2,7,11,18,31,32,8940000.000000002,0
2009-05-13,4,13,16,18,30,38,13940000.000000002,0
2009-05-15,6,7,25,29,36,38,10940000.000000002,0
2009-05-18,6,11,18,32,36,40,14940000.000000002,0
2009-05-20,1,11,13,24,25,34,9940000.000000002,0
2009-05-22,5,15,20,22,26,41,5940000,0
2009-05-25,9,12,16,21,31,40,11940000.000000002,0
2009-05-27,2,8,12,13,26,37,5940000,0
2009-05-29,2,11,29,35,37,40,19940000,0
2009-06-01,10,15,16,19,33,35,9940000.000000002,1
2009-06-03,4,5,7,25,31,41,8940000.000000002,2
2009-06-05,11,15,18,25,27,28,14940000.000000002,0
2009-06-08,1,9,11,20,28,36,15940000.000000002,0
2009-06-10,5,7,19,33,35,40,17940000,0
2009-06-12,7,11,15,23,31,32,16940000,0
2009-06-15,5,11,13,20,30,40,16940000,1
2009-06-17,3,5,17,21,40,42,9940000.000000002,0
2009-06-19,4,6,13,15,40,41,7940000,1
2009-06-22,2,9,26,35,39,41,10940000.000000002,2
2009-06-24,6,16,19,21,27,28,7940000,0
2009-06-26,12,16,24,26,39,40,12940000.000000002,0
2009-06-29,7,8,10,13,14,28,8940000.000000002,0
2009-07-01,2,6,9,12,13,24,10940000.000000002,0
2009-07-03,7,8,11,13,15,27,7940000,0
2009-07-06,11,13,16,25,26,34,19940000,0
2009-07-08,4,9,17,30,35,39,16940000,0
2009-07-10,20,21,23,25,26,28,7940000,1
2009-07-13,2,4,6,11,31,38,12940000.000000002,0
2009-07-15,7,27,28,31,34,42,12940000.000000002,0
2009-07-17,2,6,21,26,28,39,14940000.000000002,1
2009-07-20,7,9,14,18,34,38,8940000.000000002,0
2009-07-22,15,17,19,26,27,39,6940000,0
2009-07-24,18,19,25,29,36,40,15940000.000000002,0
2009-07-27,15,20,21,27,28,35,18940000,0
2009-07-29,3,19,21,27,33,38,13940000.000000002,0
2009-07-31,17,21,22,23,31,40,6940000,0
2009-08-03,10,12,22,29,37,38,16940000,0
2009-08-05,7,12,21,23,26,36,9940000.000000002,0
2009-08-07,2,6,13,16,24,32,12940000.000000002,2
2009-08-10,10,11,19,27,37,39,6940000,0
2009-08-12,16,22,30,34,36,39,16940000,0
2009-08-14,3,9,36,38,41,42,14940000.000000002,0
2009-08-17,5,9,22,25,30,37,15940000.000000002,0
2009-08-19,4,17,22,24,28,33,8940000.000000002,2
2009-08-21,9,15,16,21,32,37,6940000,0
2009-08-24,9,11,13,15,33,34,16940000,0
2009-08-26,16,19,23,29,38,40,11940000.000000002,0
2009-08-28,1,6,18,19,22,33,8940000.000000002,0
2009-08-31,5,8,15,28,33,40,7940000,2
2009-09-02,18,24,35,38,40,41,16940000,0
2009-09-04,16,17,22,26,33,40,14940000.000000002,0
2009-09-07,2,3,10,15,19,36,7940000,0
2009-09-09,5,16,19,21,37,42,13940000.000000002,0
2009-09-11,12,22,28,31,34,42,14940000.000000002,1
2009-09-14,19,20,27,32,34,42,14940000.000000002,0
2009-09-16,6,18,31,40,41,42,7940000,1
2009-09-18,10,25,28,30,36,42,13940000.000000002,0
2009-09-21,2,22,30,31,34,38,12940000.000000002,0
2009-09-23,1,3,16,24,39,40,15940000.000000002,0
2009-09-25,6,10,21,23,30,41,13940000.000000002,0
2009-09-28,18,19,20,25,34,39,10940000.000000002,0
2009-09-30,10,16,18,19,36,37,18940000,0
2009-10-02,3,8,18,20,21,39,19940000,0
2009-10-05,5,19,28,32,33,42,10940000.000000002,0
2009-10-07,2,4,17,28,31,36,12940000.000000002,0
2009-10-09,13,19,24,35,39,42,13940000.000000002,0
2009-10-12,7,20,23,30,34,37,9940000.000000002,1
2009-10-14,2,4,18,24,32,35,10940000.000000002,0
2009-10-16,13,24,30,32,37,41,19940000,0
2009-10-19,13,16,18,25,31,34,6940000,0
2009-10-21,1,6,14,15,18,24,12940000.000000002,0
2009-10-23,13,22,26,37,38,39,13940000.000000002,0
2009-10-26,8,18,19,27,28,36,14940000.000000002,0
2009-10-28,6,10,14,20,38,39,6940000,0
2009-10-30,5,7,12,13,16,25,7940000,0
2009-11-02,10,15,16,22,28,40,19940000,1
2009-11-04,4,14,28,29,34,42,18940000,1
2009-11-06,4,16,26,28,34,41,14940000.000000002,2
2009-11-09,13,16,18,26,27,35,19940000,0
2009-11-11,6,11,12,14,15,37,8940000.000000002,0
2009-11-13,6,12,17,21,23,30,12940000.000000002,0
2009-11-16,5,6,12,34,36,42,14940000.000000002,0
2009-11-18,8,11,12,29,31,33,18940000,0
2009-11-20,15,20,21,24,31,37,13940000.000000002,0
2009-11-23,2,3,5,8,29,33,10940000.000000002,0
2009-11-25,4,27,34,39,40,42,18940000,0
2009-11-27,7,8,10,28,36,39,5940000,0
2009-11-30,1,9,21,36,39,42,6940000,0
2009-12-02,2,3,7,32,37,38,13940000.000000002,0
2009-12-04,10,13,15,26,34,40,19940000,0
2009-12-07,9,13,16,21,30,41,9940000.000000002,0
2009-12-09,6,7,12,20,40,41,12940000.000000002,0
2009-12-11,1,5,12,23,41,42,17940000,0
2009-12-14,8,15,18,21,36,42,11940000.000000002,1
2009-12-16,7,10,17,26,33,35,18940000,0
2009-12-18,2,3,8,26,30,32,14940000.000000002,0
2009-12-21,1,2,7,13,35,38,6940000,0
2009-12-23,8,15,16,23,29,32,7940000,0
2009-12-25,6,7,15,28,35,38,17940000,0
2009-12-28,3,6,10,13,17,26,11940000.000000002,1
2009-12-30,4,8,11,13,19,30,8940000.000000002,0
2010-01-01,3,24,37,39,40,42,21000000,0
2010-01-04,19,25,35,36,37,41,21000000,0
2010-01-06,2,8,29,30,38,41,15000000,2
2010-01-08,8,17,24,28,35,38,13000000,0
2010-01-11,13,14,19,20,23,40,9000000,1
2010-01-13,2,6,11,13,27,32,29000000,0
2010-01-15,5,12,18,28,38,39,29000000,0
2010-01-18,2,9,12,27,28,30,25000000,0
2010-01-20,5,6,9,14,16,29,22000000,0
2010-01-22,2,18,23,24,37,38,12000000,0
2010-01-25,1,3,10,19,22,27,7000000,0
2010-01-27,14,19,22,37,38,39,29000000,0
2010-01-29,1,7,27,30,32,34,19000000,0
2010-02-01,4,5,15,28,32,36,16000000,0
2010-02-03,3,9,16,19,37,40,7000000,1
2010-02-05,1,13,18,21,40,42,20000000,1
2010-02-08,10,13,32,38,39,41,11000000,2
2010-02-10,13,17,18,22,29,39,24000000,0
2010-02-12,2,3,5,15,32,34,11000000,0
2010-02-15,6,13,22,23,24,25,29000000,0
2010-02-17,11,16,17,19,28,39,8000000,0
2010-02-19,21,22,27,28,29,31,21000000,0
2010-02-22,3,22,28,32,35,38,14000000,0
2010-02-24,2,16,20,25,33,40,15000000,0
2010-02-26,6,14,19,30,31,39,10000000,0
2010-03-01,3,6,15,23,34,42,9000000,0
2010-03-03,1,10,11,27,28,37,9000000,1
2010-03-05,6,10,11,16,33,36,10000000,0
2010-03-08,5,25,29,31,35,38,14000000,0
2010-03-10,5,17,19,29,35,41,21000000,0
2010-03-12,13,35,37,38,41,42,7000000,0
2010-03-15,4,8,9,15,36,41,21000000,0
2010-03-17,4,9,12,13,17,22,7000000,2
2010-03-19,6,14,17,22,31,41,19000000,0
2010-03-22,9,12,13,14,19,24,7000000,0
2010-03-24,5,15,19,20,38,42,18000000,0
2010-03-26,1,5,13,23,26,28,8000000,0
2010-03-29,13,17,25,28,34,40,13000000,0
2010-03-31,6,9,17,36,37,41,11000000,0
2010-04-02,17,20,23,31,35,39,8000000,0
2010-04-05,16,23,24,33,39,41,20000000,0
2010-04-07,3,20,24,26,33,40,24000000,0
2010-04-09,4,13,17,18,26,41,28000000,1
2010-04-12,9,22,33,36,37,39,7000000,0
2010-04-14,2,3,17,18,26,39,29000000,0
2010-04-16,2,12,14,27,38,42,16000000,0
